,Diamonds log-likelihood,Digits log-likelihood
2,-3.7624128932529186,3.007293923208905
3,-1.686525738875877,33.25421098235443
4,-1.249994465219426,39.74461431343013
5,-0.18055630170143175,42.22465377586717
6,1.0808643675750524,47.982796752988534
7,1.59940953285539,44.796776035725685
8,1.6270217590715323,61.46148395450856
9,1.9120722061422863,50.455249878624564
10,0.9655116575732956,56.66931995217863
15,4.975688601560382,64.06383460940411
20,6.111513970043691,75.93688680520549
25,6.414164692902527,86.11409338086179
30,6.727888160556969,97.03268393422825
35,7.009029157874647,105.50122335244734
40,7.449032919417295,113.37582073303004
45,7.895234229687815,124.22918608526871
50,7.978071829638859,134.06630134778845
55,8.270045545234503,134.85646206874267
60,8.274694614475173,147.7406143364932
65,8.539799792655622,157.72372658796132
70,8.493254622364404,168.07617036328816
80,8.82166870546573,189.61928987622
90,9.224660376252775,211.59866108752817
100,9.00468038856267,224.67167684677992
