,Digits SSE (left)
2,79372.36428072883
3,77904.39861347605
4,76233.87310902274
5,74707.46908525973
6,73477.5429893581
7,72393.9825409821
8,70815.92615506562
9,69503.31637647
10,68355.92641693851
15,62856.93715558168
20,56530.50067146275
25,51232.67688406186
30,48398.60242624368
35,45555.54523999286
40,43868.883715373304
45,41891.41297886124
50,40590.811868424884
55,38929.48277956412
60,38029.44204075844
65,37127.69517515885
70,36244.85639853822
80,34724.29942649078
90,33264.3565217606
100,32000.9223292558
