,Diamonds log-likelihood,Digits log-likelihood
2,-6.720464722701444,-30.077952164524454
3,-6.673321976734581,-24.560614309839128
4,-5.874621069135734,-23.467625905060622
5,-5.81284011522348,-21.579342037242494
6,-5.798971964211119,-20.957858214788047
7,-5.78030979568886,-15.155950424166342
8,-5.246846754214094,-15.485558770818177
9,-5.196743810136485,-13.07267497231969
10,-5.184369290995257,-12.533725476970947
15,-4.954543637275202,-7.142783965373073
20,-3.879920537348211,-2.033699028802863
25,-4.445330233623705,2.5289745827073005
30,-2.1378475089533424,4.958099080878417
35,-2.4562318640471186,8.39875769156154
40,-2.1097878154518774,12.166203748477
45,-1.7271718913023302,15.037562897188778
50,-1.7919781352294215,19.187185922876267
55,-1.4043049475185323,23.431313487595773
60,-1.33428602466573,27.193348879278364
65,-1.388007221050721,33.569957210796275
70,-1.272874196358681,39.30431807685007
80,-0.8249488485027776,50.207723798452754
90,-0.7503513495656158,59.68612713368773
100,-0.7101257765365262,68.65308613197013
