,Digits log-likelihood
2,-33.17276064417897
3,-20.89918020257814
4,-21.928089457713295
5,-19.78822682478727
6,-14.175628640462614
7,-15.617778600352295
8,-13.644593521607646
9,-12.605461905470483
10,-7.345118078958087
15,0.007964181381207615
20,5.221851459477463
25,12.81781641140566
30,17.305884741238703
35,23.37095830737768
40,28.92794164051425
45,35.18651704222458
50,42.34094597837176
55,44.094128347374344
60,53.01005196760051
65,57.76537552625234
70,66.34586153306657
80,84.57939576000932
90,101.65464174699835
100,114.37947946030388
