,Digits SSE (left)
2,79347.81621406975
3,77962.1183436334
4,76233.78909185382
5,74701.78859297182
6,73577.37842078073
7,72379.0940810784
8,70826.38981679003
9,69480.40853730979
10,68354.58836839104
15,62595.01593696325
20,56467.33738614699
25,51829.1134303436
30,48357.81405406426
35,45650.20739072128
40,43579.377558181746
45,41735.35439517174
50,40546.0443517261
55,39255.334318989626
60,38088.226890718965
65,36900.964788463345
70,36176.991398609025
80,34372.309763947764
90,33118.516081989765
100,31987.967342636224
