,Diamonds log-likelihood,Digits log-likelihood
2,-7.445564880319941,-29.585822861265434
3,-4.591422007830983,-21.075565076347132
4,-4.190409247231951,-23.309692835193836
5,-5.893468259409063,-22.217592444733015
6,-2.8493459521792626,-21.92065362714711
7,-2.5710485137288766,-16.666505383615924
8,-2.402038632827597,-15.221423239033538
9,-1.9808203008247889,-13.37633588621383
10,-2.2240349169483453,-11.43596511145812
15,-1.6827243175784619,-6.209422333151956
20,-0.8567656963062339,-2.9388247079290504
25,-0.5539707164127169,-1.6341333087395118
30,-0.46256693131873494,0.6990082411483531
35,-0.203985920447827,4.034269533483747
40,0.6273260105373147,6.3914912435446
45,0.8398612372301956,9.506675544651818
50,1.4047969584744726,11.951170824287791
55,1.0239236853528535,14.28411581666061
60,1.1681484784211429,18.258503449528185
65,1.3035509894097534,21.124466018071953
70,1.0508793088142605,23.78334883953808
80,1.8402303916028426,31.70360743494924
90,2.302908180688383,39.97024125870539
100,1.8638351900645387,46.0828650108384
