,Digits log-likelihood
2,-23.75852386265195
3,-32.39458349044189
4,-29.588482388126458
5,-21.120503981102136
6,-14.795237405557357
7,-12.53714846309473
8,-14.619965077618374
9,-12.794100263150831
10,-11.873399776536294
15,-0.32145929066436535
20,5.146132573972963
25,12.345128818092542
30,16.19527449906102
35,20.690227170285677
40,26.61894773064972
45,32.81483634650978
50,39.72010267574217
55,45.46196179965878
60,51.450586786235434
65,60.685781188264365
70,70.28303901375465
80,86.35045991562559
90,99.81296917888487
100,113.25317081473483
