,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,2.4966000080108643,0.18100148446688233,0.01247997283935547,0.006239986421499643,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 2}",0.935654706739044,0.9390889830508474,0.9414647066613694,0.9386836180638326,0.9392133492252682,0.9388209121245829,0.001857983740294109,158,0.940142360536335,0.9394822220750845,0.936173734564836,0.9393187009633529,0.9391862813255206,0.9388606598930258,0.0013830759013083234
1,2.4628798961639404,0.15393285649012486,0.012480068206787109,0.006240034104304502,0.1,"(25,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 3}",0.9353899112935258,0.9382944915254238,0.9431863329360349,0.9316646801748113,0.9364322606277314,0.936993484824408,0.003776818869635729,194,0.9389836119847708,0.9398463881348077,0.9378289800377396,0.9355778461945906,0.9371999867580362,0.9378873626219889,0.0014730447283219554
2,2.3688799858093263,0.11842334653324572,0.009360074996948242,0.007642469232731191,0.1,"(25,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 4}",0.9363166953528399,0.9380296610169492,0.9422593034035227,0.9373592901602437,0.9365646934180903,0.9381058318766884,0.002162848103166667,186,0.9393808972024499,0.9388532079719261,0.9372330916674942,0.9389876518687721,0.9365047836594167,0.9381919264740117,0.001118028495116487
3,3.207960033416748,0.42328072962476165,0.009359979629516601,0.007642391366541051,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 5}",0.9499536607970342,0.9515360169491526,0.9531187922129519,0.9502052708250562,0.9433187657263938,0.9496265692038773,0.003348669511033422,112,0.9508690614136732,0.9521287161491094,0.9479590823319098,0.9486211805210712,0.9478266626940776,0.9494809406219682,0.0017163606918891871
4,4.656240034103393,1.3769846523954712,0.012479925155639648,0.006239962578503042,0.1,"(25,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 6}",0.9486296835694427,0.9532574152542372,0.9594755661501788,0.9507350019864919,0.9507350019864919,0.9525663435563324,0.003752823609165187,104,0.9508028472107267,0.9578229490829636,0.9547124838613567,0.9506074750885556,0.9545469593140663,0.9536985429115337,0.002709183153153957
5,5.140040111541748,1.4606301438028302,0.009359979629516601,0.007642391366541051,0.1,"(25,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 7}",0.9483648881239243,0.957229872881356,0.9533836577936697,0.9619917891669978,0.9586809694080254,0.9559298691667991,0.0046845326331818446,96,0.9512663466313525,0.9609018075878965,0.9477935577846195,0.958983017181448,0.961267255934055,0.9560423970238743,0.005484783946868494
6,4.160040044784546,0.8379742005039011,0.006239986419677735,0.007642391366541052,0.1,"(25,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 8}",0.9470409108963326,0.948093220338983,0.9586809694080254,0.9560323136008476,0.9502052708250562,0.9520101700301923,0.004560070315355631,106,0.9490150637311703,0.9511024299807985,0.9543152249478598,0.9536200218492402,0.9538517562154467,0.952380899344903,0.0020200887775669663
7,2.6690000534057616,0.32150287795534205,0.012479925155639648,0.006239962580324957,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 2}",0.9351251158480074,0.939353813559322,0.940537677128857,0.9359025294662958,0.9394782148059859,0.9380793474230626,0.0021490086711439637,187,0.9400099321304419,0.9399788121565252,0.9360744198364618,0.9370675671202039,0.9383586585890688,0.9382978779665404,0.0015631886853539742
8,2.4841200351715087,0.04355962227950239,0.00935983657836914,0.007642274564280669,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 3}",0.9352575135707666,0.9381620762711864,0.9433187657263938,0.9384187524831148,0.936961991789167,0.9384236453201971,0.0026903998152441005,179,0.9390498261877173,0.9393497980533669,0.93799450458503,0.939351805872811,0.9386897076836495,0.9388871284765148,0.0005083721365906552
9,2.6879199504852296,0.3066933948386536,0.0031199932098388674,0.006239986419677735,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 4}",0.9348603204024891,0.9341896186440678,0.9425241689842405,0.9368295589988082,0.938153886902397,0.9373112982679167,0.00296201355724333,191,0.9383545770567787,0.9367675296298749,0.9362399443837521,0.9395504353295594,0.9372330916674942,0.9376291156134918,0.0011871584422941252
10,4.263120031356811,1.5530997559961133,0.009360027313232423,0.007642430300627835,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 5}",0.9477028995101284,0.9472987288135594,0.9511323003575686,0.9574890742947954,0.952986359422593,0.9513215742359236,0.0037449572207770756,109,0.9488164211223308,0.9484870555518771,0.947131459595458,0.9559704704207634,0.9579898698977058,0.9516790553176271,0.004411502876446535
11,4.169720077514649,1.5298688255172521,0.01307992935180664,0.006642381228104961,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 6}",0.9518072289156626,0.9597457627118644,0.9533836577936697,0.9503377036154151,0.9487485101311085,0.952804703638964,0.003796002072520712,103,0.9544115212713127,0.9611666556313315,0.9475287185089549,0.948952229615652,0.9529248187506207,0.9529967887555744,0.004796073881803511
12,5.218240070343017,1.221929471350062,0.00935988426208496,0.0076423134983674675,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 7}",0.9459817291142593,0.9536546610169492,0.9607998940537678,0.9619917891669978,0.9584161038273077,0.9561682292494306,0.005839806342462953,93,0.9493792418473762,0.9576243130503873,0.958983017181448,0.9577250306220413,0.9608037872016421,0.9569030779805789,0.0039330796034815745
