,Diamonds log-likelihood,Digits log-likelihood
2,-1.743201965152771,-41.23645426905744
3,-0.08793802325165095,-35.38590355506397
4,0.4390697955320833,-30.344725702318467
5,1.3382005151883194,-25.115548789209242
6,1.362196683372374,-25.709733444413605
7,1.5855815826837896,-21.386541521748775
8,2.246291759318661,-20.34298467777976
9,2.3839299893641894,-18.271602106914237
10,2.4426218614757085,-15.639479186061457
15,2.8796171572376608,-12.483145544445177
20,3.026375335638216,-4.2662745658293515
25,4.009776047338261,2.3324570994780163
30,4.339503222634647,10.168546991541248
35,5.201766114919297,18.161682927004822
40,6.311880150615236,26.825378671081456
45,6.930339629044301,36.173387223030566
50,6.9293329885011286,49.817988999096556
55,7.277340876659385,60.51799850662629
60,7.503658189402323,71.86980652202928
65,7.776329504440725,81.0797228865052
70,7.635073655970978,89.29897131775517
80,8.1423643094325,105.93165637420866
90,8.052324877937355,121.1944490479531
100,8.723822073013922,130.68298908782918
