,Digits log-likelihood
2,-41.25712720795111
3,-35.38913130927916
4,-30.371706954569497
5,-25.115548789209242
6,-25.71714152928654
7,-21.394873970307774
8,-20.360623370948556
9,-18.28575494442957
10,-15.639482083849751
15,-12.555761194187395
20,-4.281459592647294
25,2.3324570994780163
30,10.168546991541248
35,18.161682927004822
40,26.825378671081456
45,36.173387223030566
50,49.78950518211232
55,60.51799850662629
60,71.86980652202928
65,81.0797228865052
70,89.29897131775517
80,105.93165637420866
90,121.1944490479531
100,130.68298908782918
