,Digits SSE (left)
2,74491.46270452095
3,68894.81011071062
4,65572.46595749944
5,62623.81244726882
6,59770.571667559416
7,57214.51148024663
8,55108.962217155495
9,52743.03605664172
10,51200.67634586701
15,44010.53967730925
20,39144.781693711906
25,36021.06516724365
30,33361.38903483974
35,31240.958112146633
40,29566.97417335318
45,28208.936980244485
50,27206.37504241261
55,26154.024744836388
60,25544.54419823524
65,24653.782200875576
70,23932.911188254988
80,22676.834053499828
90,21751.32071165255
100,20882.07696074141
