,Diamonds log-likelihood,Digits log-likelihood
2,-5.423816566277732,-24.92088211760134
3,-5.328592993209335,-23.225269302319806
4,-5.2738268692118195,-21.410665127706707
5,-5.237664744247592,-19.972559601371298
6,-5.097172753381361,-18.780100433223783
7,-5.058787444472076,-18.638045281036224
8,-5.01432949024318,-17.2927953516947
9,-4.997834086788321,-17.33396708395334
10,-4.9670436129053765,-16.370016146484133
15,-4.857651845189884,-13.783219959772799
20,-4.714906344982062,-12.421127517406154
25,-4.481033193810966,-10.463329460976954
30,-4.367139817201116,-9.088236462017925
35,-4.5829931835969235,-7.954825464672851
40,-4.141609947549364,-5.949719559787175
45,-4.027236902117787,-4.263842449128268
50,-4.168770561287242,-2.5161285471320167
55,-3.6820815539815226,-0.6430705865008713
60,-3.6783954361178175,2.00553862734667
65,-3.6358106861362454,3.683492403687024
70,-3.3059206263802787,6.7496604951562675
80,-3.546387627923007,12.7193027242049
90,-2.5578913788728714,18.54405981120563
100,-2.628808507341668,25.375827363363683
